lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,n_subjects,mean_clean_dice,mean_artifact_dice,mean_paired_dice_drop_clean_minus_artifact,median_paired_dice_drop_clean_minus_artifact,std_paired_dice_drop_clean_minus_artifact,clean_failure_rate_dice_lt_0_1,artifact_failure_rate_dice_lt_0_1,failure_rate_increase_artifact_minus_clean,clean_strong_rate_dice_ge_0_7,artifact_strong_rate_dice_ge_0_7,strong_rate_decrease_clean_minus_artifact
1,"[13, 1159)","[13, 1159)",Base CNN,Augmented,163,0.3069118527,0.2943782038,0.01253364896,2.691862e-12,0.06947054463,0.4233128834,0.4294478528,0.006134969325,0.1533742331,0.1288343558,0.0245398773
1,"[13, 1159)","[13, 1159)",Base CNN,Standard,163,0.301664203,0.2534011458,0.04826305724,1.3726584e-11,0.1382319167,0.4355828221,0.5153374233,0.07975460123,0.1349693252,0.08588957055,0.0490797546
1,"[13, 1159)","[13, 1159)",MedNeXt,Augmented,163,0.3393351996,0.3126739779,0.02666122165,0,0.119388037,0.4171779141,0.4233128834,0.006134969325,0.1779141104,0.1472392638,0.03067484663
1,"[13, 1159)","[13, 1159)",MedNeXt,Standard,163,0.3209695156,0.2776173968,0.04335211885,7.0356472e-11,0.129364024,0.4539877301,0.4969325153,0.04294478528,0.2085889571,0.1656441718,0.04294478528
1,"[13, 1159)","[13, 1159)",Swin UNETR,Augmented,163,0.3292693738,0.294127604,0.03514176978,4.24194509e-10,0.1265417622,0.4171779141,0.472392638,0.05521472393,0.1717791411,0.1288343558,0.04294478528
1,"[13, 1159)","[13, 1159)",Swin UNETR,Standard,163,0.3289749783,0.2587438349,0.07023114335,0.0025924071,0.1445016002,0.3865030675,0.509202454,0.1226993865,0.1472392638,0.08588957055,0.06134969325
1,"[13, 1159)","[13, 1159)",UXNet,Augmented,163,0.3432814205,0.311557512,0.03172390856,0,0.09666798516,0.4110429448,0.4294478528,0.01840490798,0.2085889571,0.1595092025,0.0490797546
1,"[13, 1159)","[13, 1159)",UXNet,Standard,163,0.3413683593,0.2814158631,0.05995249623,7.58657189e-10,0.1481690942,0.3926380368,0.4846625767,0.09202453988,0.1963190184,0.1533742331,0.04294478528
2,"[1159, 5290)","[1159, 5290)",Base CNN,Augmented,163,0.4499768718,0.4113434879,0.03863338384,0.0004924896,0.1152881687,0.1595092025,0.2024539877,0.04294478528,0.2085889571,0.1901840491,0.01840490798
2,"[1159, 5290)","[1159, 5290)",Base CNN,Standard,163,0.4371607961,0.3922600079,0.04490078817,0.0013070315,0.1174184644,0.1779141104,0.226993865,0.0490797546,0.2515337423,0.1901840491,0.06134969325
