lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_subjects,mean_dice,median_dice,std_dice,iqr_dice,failure_rate_dice_lt_0_1,strong_rate_dice_ge_0_7,mean_precision,mean_recall,mean_volume_similarity
1,"[13, 1159)","[13, 1159)",Base CNN,Augmented,artifact,163,0.2943782038,0.2366412243,0.2948918213,0.5714285675,0.4294478528,0.1288343558,0.4297989228,0.3691491143,
1,"[13, 1159)","[13, 1159)",Base CNN,Augmented,clean,163,0.3069118527,0.2653316655,0.2992729968,0.594788855,0.4233128834,0.1533742331,0.437172825,0.382068242,
1,"[13, 1159)","[13, 1159)",Base CNN,Standard,artifact,163,0.2534011458,0.07927695299,0.2855788502,0.5157434112,0.5153374233,0.08588957055,0.3555926488,0.3333056509,
1,"[13, 1159)","[13, 1159)",Base CNN,Standard,clean,163,0.301664203,0.2772041305,0.2964302462,0.565309839,0.4355828221,0.1349693252,0.4577576945,0.3708006056,
1,"[13, 1159)","[13, 1159)",MedNeXt,Augmented,artifact,163,0.3126739779,0.2938910296,0.3054643821,0.5950366276,0.4233128834,0.1472392638,0.5060928743,0.397098668,
1,"[13, 1159)","[13, 1159)",MedNeXt,Augmented,clean,163,0.3393351996,0.3365794281,0.3170835489,0.6480733979,0.4171779141,0.1779141104,0.569944827,0.4171137337,
1,"[13, 1159)","[13, 1159)",MedNeXt,Standard,artifact,163,0.2776173968,0.1136950927,0.3078971127,0.5565424578,0.4969325153,0.1656441718,0.4617748327,0.3542192258,
1,"[13, 1159)","[13, 1159)",MedNeXt,Standard,clean,163,0.3209695156,0.240837697,0.3217359037,0.6567895773,0.4539877301,0.2085889571,0.5705225053,0.3922729068,
1,"[13, 1159)","[13, 1159)",Swin UNETR,Augmented,artifact,163,0.294127604,0.2254697302,0.3018292068,0.5850694427,0.472392638,0.1288343558,0.4145972083,0.3805450929,
1,"[13, 1159)","[13, 1159)",Swin UNETR,Augmented,clean,163,0.3292693738,0.3308270682,0.3088899392,0.6131785296,0.4171779141,0.1717791411,0.4608091871,0.421733672,
1,"[13, 1159)","[13, 1159)",Swin UNETR,Standard,artifact,163,0.2587438349,0.08484162922,0.2853644493,0.5329841716,0.509202454,0.08588957055,0.4286600123,0.3254683325,
1,"[13, 1159)","[13, 1159)",Swin UNETR,Standard,clean,163,0.3289749783,0.3108808326,0.2975837105,0.6170856338,0.3865030675,0.1472392638,0.5205071374,0.3885883462,
1,"[13, 1159)","[13, 1159)",UXNet,Augmented,artifact,163,0.311557512,0.2614913184,0.3065068918,0.6118056702,0.4294478528,0.1595092025,0.4836817973,0.3920226073,
1,"[13, 1159)","[13, 1159)",UXNet,Augmented,clean,163,0.3432814205,0.298407377,0.3188182274,0.6801820108,0.4110429448,0.2085889571,0.533391614,0.4197390074,
1,"[13, 1159)","[13, 1159)",UXNet,Standard,artifact,163,0.2814158631,0.1575583255,0.3054580873,0.5830434845,0.4846625767,0.1533742331,0.3950841981,0.3648729288,
1,"[13, 1159)","[13, 1159)",UXNet,Standard,clean,163,0.3413683593,0.279260781,0.3186878487,0.6557734172,0.3926380368,0.1963190184,0.5158283986,0.4144164621,
2,"[1159, 5290)","[1159, 5290)",Base CNN,Augmented,artifact,163,0.4113434879,0.4644471848,0.271420437,0.5060203918,0.2024539877,0.1901840491,0.5125218575,0.4684409962,
