architecture,training_condition,acquisition_type,n_fold_predictions,n_success,n_error,n_scans,n_unique_subjects,scan_positive_rate_fold_level,mean_fold_predicted_lesion_volume_ml,median_fold_predicted_lesion_volume_ml,std_fold_predicted_lesion_volume_ml,iqr_fold_predicted_lesion_volume_ml,max_fold_predicted_lesion_volume_ml,mean_fold_largest_cc_volume_ml,median_fold_largest_cc_volume_ml,std_fold_largest_cc_volume_ml,iqr_fold_largest_cc_volume_ml,max_fold_largest_cc_volume_ml,mean_connected_component_count_26conn,median_connected_component_count_26conn,std_connected_component_count_26conn,iqr_connected_component_count_26conn,max_connected_component_count_26conn,mean_largest_cc_fraction_of_prediction,median_largest_cc_fraction_of_prediction,std_largest_cc_fraction_of_prediction,iqr_largest_cc_fraction_of_prediction,mean_component_count_ge_10_voxels,mean_component_count_ge_100_voxels,mean_component_count_ge_1000_voxels,mean_small_component_voxel_fraction_lt_10_voxels
mednext,augmented,headmotion1,700,700,0,140,140,1,51.27392857,26.9765,62.9489458,63.74225,320.525,33.70704857,14.8325,48.8123993,33.9265,277.181,116.5571429,72.5,115.7958099,144.25,581,0.6335515961,0.6081933976,0.2112460005,0.348144582,12.38714286,5.908571429,3.158571429,0.01712099351
mednext,augmented,headmotion2,700,700,0,140,140,1,61.43882571,36.9855,68.24858039,73.28025,317.811,38.99124857,19.0325,51.96665031,40.41225,279.539,131.3971429,88,123.3261158,159.25,718,0.6214940462,0.6020556109,0.2071909758,0.3468875791,13.41142857,6.387142857,3.534285714,0.01774985262
mednext,augmented,standard,700,700,0,140,140,0.9942857143,37.19765857,19.744,48.81583435,39.27975,296.587,27.40121286,12.5555,43.59141275,22.93675,238.767,84.35,53,89.71761453,93.25,863,0.6805667792,0.6714266418,0.2167931845,0.3774584515,8.978571429,4.41,2.357142857,0.02136510925
mednext,standard,headmotion1,700,700,0,140,140,0.9985714286,20.19959857,7.41,31.43541346,22.2795,209.237,12.72668,5.054,18.97372585,15.262,122.006,74.30714286,30,102.1188591,79.5,692,0.6710292532,0.6675972727,0.2177238361,0.3803359913,9.414285714,4.007142857,1.694285714,0.03063055429
mednext,standard,headmotion2,700,700,0,140,140,0.9957142857,23.03159143,9.041,34.46800775,26.52125,241.281,14.37543714,5.805,21.68065383,17.5585,171.696,78.88714286,34,102.6617754,92,688,0.6487196728,0.6412862987,0.2172237042,0.3581869045,10.36,4.475714286,1.945714286,0.02690713682
mednext,standard,standard,700,700,0,140,140,0.9928571429,15.43988571,5.311,24.12623144,19.21775,159.93,10.56275571,3.479,15.61154145,15.5455,136.559,64.67857143,25,96.08608253,66,578,0.6934385226,0.7152209553,0.2208149877,0.3676407394,7.43,3.135714286,1.354285714,0.04166624702
swin_unetr,augmented,headmotion1,700,700,0,140,140,1,123.6250714,109.503,68.03092194,75.98325,409.078,55.80973429,45.856,39.73999636,40.02825,317.903,211.8,193,83.03154306,91.25,561,0.4468033396,0.4218628374,0.1428621563,0.1863360584,39.27428571,15.13428571,7.194285714,0.00362564244
swin_unetr,augmented,headmotion2,700,700,0,140,140,1,128.7702914,114.7835,66.12930255,72.44875,419.461,57.65737429,48.0395,38.24088052,37.44575,283.488,229.3757143,206,88.21512817,110,581,0.4428553715,0.4155907856,0.1379302967,0.1948182845,40.66714286,15.52285714,7.298571429,0.003625643162
swin_unetr,augmented,standard,700,700,0,140,140,1,114.0725657,101.3425,67.84071407,79.97725,400.756,52.42617,44.1775,38.83285789,39.55825,263.467,189.9528571,172.5,75.26554367,78,493,0.4506959097,0.417743298,0.1494867145,0.2007937567,37.21142857,14.67714286,6.932857143,0.003671854311
swin_unetr,standard,headmotion1,700,700,0,140,140,1,77.60364,54.4815,65.81954333,46.7765,432.072,31.90595571,24.0515,27.24981226,24.54525,204.03,229.0971429,223,64.69949651,89.25,495,0.4224879497,0.4072366571,0.1417342347,0.193209474,49.86,17.40285714,7.01,0.007550159441
swin_unetr,standard,headmotion2,700,700,0,140,140,1,85.18088143,61.247,66.91872332,53.5945,456.21,35.37255143,27.2045,30.16775027,25.15675,266.378,252.8528571,247,69.72224327,93,558,0.4224246037,0.4033380824,0.1492646761,0.1994379873,51.51714286,18.06714286,7.381428571,0.007366550992
swin_unetr,standard,standard,700,700,0,140,140,1,69.11424429,44.658,67.75013503,41.82525,435.469,27.43961571,19.319,27.16400408,20.291,207.73,200.2014286,198,53.79174922,76.5,425,0.4070148824,0.3878414103,0.1354454185,0.1896595998,46.95571429,16.85,6.664285714,0.007892876313
