architecture_a,architecture_b,training_condition,evaluation_condition,endpoint,contrast,n,mean_architecture_a,mean_architecture_b,mean_difference_architecture_a_minus_b,median_difference_architecture_a_minus_b,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_paired_cohens_dz,holm_family,source_metric_files,interpretation,wilcoxon_p_holm
Base CNN,MedNeXt,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.4868362847628855,0.5141878725454394,-0.027351587782553897,-0.012019911523819538,-0.04067882567907853,-0.01436048769017506,1.4294477856193892e-07,-0.1584454130133324,atlas_architecture_pairwise_dice_Augmented_artifact,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,8.576686713716335e-07
Base CNN,Swin UNETR,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.4868362847628855,0.507209721129038,-0.020373436366152364,-0.007089699173522979,-0.03320818615005399,-0.007797622332023491,0.00016406950043290535,-0.12203556922754275,atlas_architecture_pairwise_dice_Augmented_artifact,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.0008203475021645268
Base CNN,UXNet,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.4868362847628855,0.49520463175283924,-0.008368346989953618,-9.621860900288493e-05,-0.02165123631249287,0.005122840156591369,0.06018954438753047,-0.04794167918965283,atlas_architecture_pairwise_dice_Augmented_artifact,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.12037908877506094
MedNeXt,Swin UNETR,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.5141878725454394,0.507209721129038,0.00697815141640153,1.8494372974456524e-10,-0.005965041321158332,0.01970236636233983,0.1705826599605368,0.04171092144897932,atlas_architecture_pairwise_dice_Augmented_artifact,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.1705826599605368
MedNeXt,UXNet,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.5141878725454394,0.49520463175283924,0.018983240792600276,0.002580751597675568,0.005517997001164325,0.032573338022018734,0.0003395673760598508,0.1081036640835242,atlas_architecture_pairwise_dice_Augmented_artifact,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.0013582695042394031
Swin UNETR,UXNet,Augmented,artifact,dice,architecture_a_minus_architecture_b,653,0.507209721129038,0.49520463175283924,0.012005089376198746,0.0012014109914367799,-0.00036223694820495736,0.02416844555165626,0.010521895089833096,0.07627301025146305,atlas_architecture_pairwise_dice_Augmented_artifact,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.03156568526949929
Base CNN,MedNeXt,Augmented,clean,dice,architecture_a_minus_architecture_b,653,0.5184842928717461,0.5431148790918172,-0.024630586220071016,-0.012214699947048824,-0.034608624777178125,-0.014460308178545104,1.7612097092409352e-12,-0.18605185441751682,atlas_architecture_pairwise_dice_Augmented_clean,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,positive means architecture_a has higher Dice than architecture_b,1.0567258255445612e-11
Base CNN,Swin UNETR,Augmented,clean,dice,architecture_a_minus_architecture_b,653,0.5184842928717461,0.5387052408141143,-0.020220947942368058,-0.011707694231780308,-0.03006423636569933,-0.010562644438774938,1.1544884724484867e-08,-0.15631684955209563,atlas_architecture_pairwise_dice_Augmented_clean,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,positive means architecture_a has higher Dice than architecture_b,5.7724423622424334e-08
Base CNN,UXNet,Augmented,clean,dice,architecture_a_minus_architecture_b,653,0.5184842928717461,0.527306966277858,-0.008822673406111845,-0.004954933276286044,-0.020437146207459338,0.0024902389170414142,0.0023366034595504073,-0.059946199343762746,atlas_architecture_pairwise_dice_Augmented_clean,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.0070098103786512215
MedNeXt,Swin UNETR,Augmented,clean,dice,architecture_a_minus_architecture_b,653,0.5431148790918172,0.5387052408141143,0.0044096382777029566,3.1330977301146926e-09,-0.005922906631545833,0.014603154243646927,0.01964224136750909,0.032871363528684194,atlas_architecture_pairwise_dice_Augmented_clean,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.01964224136750909
MedNeXt,UXNet,Augmented,clean,dice,architecture_a_minus_architecture_b,653,0.5431148790918172,0.527306966277858,0.015807912813959168,0.00046487634097902575,0.0038925285167710827,0.02768364582755184,0.0011851072424642465,0.10071940815712464,atlas_architecture_pairwise_dice_Augmented_clean,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json,positive means architecture_a has higher Dice than architecture_b,0.004740428969856986
