architecture_a,architecture_b,training_condition,endpoint,contrast,n,mean_gap_architecture_a,mean_gap_architecture_b,mean_gap_difference_architecture_a_minus_b,median_gap_difference_architecture_a_minus_b,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_paired_cohens_dz,holm_family,source_metric_files,interpretation,wilcoxon_p_holm
Base CNN,MedNeXt,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.03164800810886068,0.028927006546377806,0.0027210015624828804,-1.1926058400848536e-11,-0.007266685347459759,0.012642260646773606,0.860745093303261,0.0210821401316542,atlas_architecture_pairwise_gap_Augmented,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
Base CNN,Swin UNETR,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.03164800810886068,0.03149551968507638,0.0001524884237843075,0.0,-0.009440032294973767,0.010009486050349795,0.9648535622738001,0.0012028944132998242,atlas_architecture_pairwise_gap_Augmented,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
Base CNN,UXNet,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.03164800810886068,0.032102334525018913,-0.00045432641615822535,-7.299746055982045e-12,-0.009600753702775232,0.008669548534585406,0.5465074292931125,-0.003818021008278044,atlas_architecture_pairwise_gap_Augmented,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
MedNeXt,Swin UNETR,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.028927006546377806,0.03149551968507638,-0.002568513138698573,0.0,-0.012589131577467634,0.007592651550963658,0.5471290322486535,-0.01974593373001893,atlas_architecture_pairwise_gap_Augmented,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
MedNeXt,UXNet,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.028927006546377806,0.032102334525018913,-0.0031753279786411073,-1.0928962803966213e-09,-0.013205455624414763,0.007041274022313153,0.1280292086361859,-0.024104487659485134,atlas_architecture_pairwise_gap_Augmented,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,0.7681752518171153
Swin UNETR,UXNet,Augmented,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.03149551968507638,0.032102334525018913,-0.0006068148399425334,0.0,-0.009704007839341111,0.008564230162968593,0.3612950965541961,-0.0050232709059384725,atlas_architecture_pairwise_gap_Augmented,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
Base CNN,MedNeXt,Standard,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.04921003939796564,0.043490922351039435,0.0057191170469262035,4.997213989617607e-12,-0.00523380688028232,0.016877851545412176,0.31351769148016995,0.03910352780698604,atlas_architecture_pairwise_gap_Standard,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
Base CNN,Swin UNETR,Standard,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.04921003939796564,0.048303884797037414,0.0009061546009282268,0.0,-0.010181353946485276,0.012142103713602888,0.8414824088084336,0.006082932395490462,atlas_architecture_pairwise_gap_Standard,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
Base CNN,UXNet,Standard,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.04921003939796564,0.04841795466274307,0.0007920847352225678,-1.5838711151897942e-10,-0.011780822480235252,0.01283495089530286,0.7718227195361382,0.004930874876767789,atlas_architecture_pairwise_gap_Standard,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,1.0
MedNeXt,Swin UNETR,Standard,clean_minus_artifact_dice_gap,architecture_a_gap_minus_architecture_b_gap,653,0.043490922351039435,0.048303884797037414,-0.004812962445997978,-2.7933897909530858e-11,-0.015707413379225904,0.005962848218552457,0.12064225948778023,-0.03424299468857973,atlas_architecture_pairwise_gap_Standard,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json,negative means architecture_a has smaller clean-to-artifact Dice gap than architecture_b,0.7238535569266814
