architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n_folds,total_subjects,mean_fold_mean_dice,std_fold_mean_dice,mean_fold_failure_rate_dice_lt_0_1,std_fold_failure_rate_dice_lt_0_1,mean_fold_strong_rate_dice_ge_0_7,std_fold_strong_rate_dice_ge_0_7
Base CNN,Augmented,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.29476840198969007,0.03753868505074435,0.42859848484848484,0.08944127534610176,0.12878787878787878,0.025559412076260946
Base CNN,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.41139086376278994,0.02725645901581218,0.2024621212121212,0.05070666827479246,0.19015151515151515,0.025439843449924324
Base CNN,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.5356346509565318,0.08020510939569853,0.08617424242424243,0.046469106615095825,0.36818181818181817,0.0983901059439332
Base CNN,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7049281319206944,0.011142431124530481,0.01818181818181818,0.016597653257732308,0.7009469696969697,0.060072521312197334
Base CNN,Augmented,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3074300203232549,0.048918274455684724,0.42234848484848486,0.10004545497569975,0.15378787878787878,0.033168281104719456
Base CNN,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4497610767370045,0.01998660729301619,0.15984848484848485,0.04686973876197905,0.2085227272727273,0.024606639043805636
Base CNN,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5784956705661738,0.07078797709217002,0.06761363636363636,0.03989429473077718,0.4107954545454546,0.12122025895978493
Base CNN,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7372070907643784,0.012703231370488668,0.012121212121212121,0.016597653257732308,0.7619318181818182,0.04159989484539404
Base CNN,Standard,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.254125470476813,0.08331806712631494,0.5142045454545455,0.1539837953816198,0.08636363636363636,0.07808739912414991
Base CNN,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.3916141684474144,0.06101821656222302,0.22746212121212123,0.03858480293984065,0.18958333333333333,0.06410222471567288
Base CNN,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.5259187212051788,0.08296903600365485,0.11041666666666668,0.05505307512997996,0.3380681818181818,0.14278846079523305
Base CNN,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7051724238805256,0.024924443140656567,0.012121212121212121,0.016597653257732308,0.7134469696969697,0.06254159543312333
Base CNN,Standard,clean,1,"[13, 1159)","[13, 1159)",5,163,0.30244857286688565,0.07930580332304414,0.434280303030303,0.13855820366722946,0.13541666666666669,0.07232393879973494
Base CNN,Standard,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4366312094074056,0.05378465127353401,0.17878787878787877,0.06617414485431046,0.25094696969696967,0.05619130189070755
Base CNN,Standard,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5921389840542745,0.056333876282529456,0.055492424242424246,0.03407512260750141,0.4111742424242424,0.09323781115177822
Base CNN,Standard,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7424678579656129,0.0161641399239909,0.006060606060606061,0.01355192713636236,0.7558712121212121,0.04938971270724248
MedNeXt,Augmented,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.313247059440629,0.06285584631915347,0.4227272727272727,0.10745832258483116,0.14753787878787877,0.07742136069178988
MedNeXt,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.43701430291184024,0.02980608799524257,0.17234848484848486,0.08702594841046048,0.23333333333333334,0.03649582389597103
MedNeXt,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.56972441501646,0.039548475530293434,0.08579545454545454,0.025104522090347723,0.41742424242424236,0.12517814727366294
MedNeXt,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7359703980072014,0.03277492709852677,0.024242424242424242,0.013551927136362362,0.75,0.07836424570294395
MedNeXt,Augmented,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3398190669382175,0.05084743287057487,0.41666666666666663,0.10163945352271771,0.17821969696969697,0.07455364384372164
MedNeXt,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4673557961139547,0.02484639695891151,0.12954545454545455,0.06893523130955954,0.24526515151515152,0.028863164117666984
MedNeXt,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5955913829614568,0.04989085500952883,0.06761363636363636,0.03989429473077718,0.48522727272727273,0.12648445633351676
MedNeXt,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7687412287192795,0.018538250409298646,0.012121212121212121,0.016597653257732308,0.8045454545454545,0.05679292367876157
MedNeXt,Standard,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.2779927833973945,0.07138128154889338,0.49640151515151515,0.11592239723582286,0.16609848484848486,0.06593384897237696
MedNeXt,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.4223808929293873,0.0499659266260493,0.1784090909090909,0.052283533961981946,0.19621212121212123,0.06616398053162156
MedNeXt,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.534998343020203,0.050640176856696424,0.10473484848484849,0.047611014609239444,0.3494318181818182,0.06849020116853594
MedNeXt,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7319913198217878,0.025727975030069346,0.012121212121212121,0.016597653257732308,0.7134469696969697,0.045551112700215494
MedNeXt,Standard,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3215997129424108,0.07445996973075733,0.45359848484848486,0.08621065664197759,0.20928030303030304,0.07648795646329042
MedNeXt,Standard,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4690434679186272,0.04334735013711718,0.13541666666666669,0.05308945564549159,0.24526515151515152,0.0878642964148759
MedNeXt,Standard,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5824104756170462,0.0508130205085702,0.0615530303030303,0.03771270407526492,0.4660984848484849,0.13767975457067375
MedNeXt,Standard,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7687798694701045,0.014395160417073198,0.006060606060606061,0.01355192713636236,0.7988636363636363,0.03389040363020994
Swin UNETR,Augmented,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.2945987312804205,0.03738464218968773,0.47159090909090906,0.07669869973983555,0.12954545454545455,0.08117027415744772
Swin UNETR,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.4384717911917123,0.024860364650427604,0.17215909090909093,0.03715212071284615,0.2390151515151515,0.04360998518780772
Swin UNETR,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.5600209513781593,0.045822457956795175,0.07367424242424243,0.046132102853460706,0.37405303030303033,0.10711646377329101
Swin UNETR,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7348305262188063,0.03459454641684972,0.024242424242424242,0.02535333413739623,0.75,0.02512594538148027
Swin UNETR,Augmented,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3297430946160088,0.0491310978291925,0.4160984848484849,0.11139600256316357,0.17215909090909093,0.07541470706554161
Swin UNETR,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.46836699519106073,0.02338840184086384,0.14147727272727273,0.029867850585915776,0.26988636363636365,0.049911681640547115
Swin UNETR,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5987673196575642,0.05592071671515618,0.04905303030303031,0.03460264073214934,0.45435606060606054,0.1256054551836855
Swin UNETR,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.756990225596075,0.024575353291707045,0.01818181818181818,0.027103854272724725,0.7988636363636363,0.026256858826702135
Swin UNETR,Standard,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.2590837344795121,0.05941504983103561,0.5085227272727273,0.09393156583952596,0.08617424242424243,0.06674625070722007
Swin UNETR,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.4189445774439718,0.04981368252940504,0.19090909090909092,0.07899566496108902,0.17140151515151514,0.07930835877352312
Swin UNETR,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.52078114335983,0.0475167727310159,0.07973484848484849,0.045976329648750945,0.2827651515151515,0.06888057347470225
Swin UNETR,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7030456194686182,0.029568325939103763,0.024242424242424242,0.02535333413739623,0.6768939393939395,0.06587533966889424
