architecture,training_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,clean_mean_dice,artifact_mean_dice,mean_dice_drop_clean_minus_artifact,median_dice_drop_clean_minus_artifact,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_paired_cohens_dz,clean_failure_rate_dice_lt_0_1,artifact_failure_rate_dice_lt_0_1,failure_rate_increase_artifact_minus_clean,clean_strong_rate_dice_ge_0_7,artifact_strong_rate_dice_ge_0_7,strong_rate_change_artifact_minus_clean,holm_family,source_metric_files,wilcoxon_p_holm
Base CNN,Augmented,1,"[13, 1159)","[13, 1159)",163,0.3069118527306092,0.2943782037703109,0.012533648960298332,2.6918624908305915e-12,0.0021925181637850355,0.023412844844618967,0.004957552981309823,0.1798624597140873,0.4233128834355828,0.4294478527607362,0.006134969325153394,0.15337423312883436,0.12883435582822086,-0.024539877300613494,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json,0.009915105962619646
Base CNN,Augmented,2,"[1159, 5290)","[1159, 5290)",163,0.4499768717628552,0.4113434879166157,0.03863338384623965,0.0004924895345368441,0.022058751733072025,0.05729960464211527,5.924324946106435e-05,0.3340732586608595,0.15950920245398773,0.20245398773006135,0.04294478527607362,0.2085889570552147,0.1901840490797546,-0.0184049079754601,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json,0.0003554594967663861
Base CNN,Augmented,3,"[5290, 36236)","[5290, 36236)",163,0.5784828932061525,0.5353206397361577,0.04316225346999488,0.0022348124019340165,0.028040143248376885,0.060521066698016476,2.2185177773115965e-10,0.41014822268383355,0.06748466257668712,0.08588957055214724,0.018404907975460127,0.4110429447852761,0.36809815950920244,-0.04294478527607365,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json,3.5496284436985544e-09
Base CNN,Augmented,4,"[36236, 496656]","[36236, 496656]",164,0.7372235948793457,0.70496459712318,0.032258997756165655,0.006653784730523249,0.02330411854897622,0.04216776812121835,4.384059145364471e-18,0.5169249654187236,0.012195121951219513,0.018292682926829267,0.006097560975609755,0.7621951219512195,0.7012195121951219,-0.060975609756097615,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json,1.3152177436093413e-16
Base CNN,Standard,1,"[13, 1159)","[13, 1159)",163,0.30166420301035207,0.25340114577367,0.048263057236682054,1.3726584675483501e-11,0.028344563149524094,0.07031294929729365,0.001343436019769776,0.3480728938858732,0.43558282208588955,0.5153374233128835,0.0797546012269939,0.13496932515337423,0.08588957055214724,-0.04907975460122699,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,0.004030308059309328
Base CNN,Standard,2,"[1159, 5290)","[1159, 5290)",163,0.4371607960949842,0.39226000792492954,0.04490078817005459,0.0013070315382941455,0.027797686832396144,0.0640186545418331,1.6318489910102475e-05,0.3812249122710239,0.17791411042944785,0.22699386503067484,0.04907975460122699,0.25153374233128833,0.1901840490797546,-0.06134969325153372,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,0.0001305479192808198
Base CNN,Standard,3,"[5290, 36236)","[5290, 36236)",163,0.5921061027182267,0.5257638410808008,0.06634226163742589,0.008402034841399342,0.04774900904183886,0.08669234200912337,1.3870070324925693e-13,0.5154431235790646,0.05521472392638037,0.11042944785276074,0.05521472392638037,0.4110429447852761,0.3374233128834356,-0.07361963190184051,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,3.1901161747329095e-12
Base CNN,Standard,4,"[36236, 496656]","[36236, 496656]",164,0.7424143531609279,0.7050078880470677,0.03740646511386018,0.009856820850448034,0.027007004999874126,0.04907966954114124,1.4720852530265409e-19,0.515973626684803,0.006097560975609756,0.012195121951219513,0.006097560975609756,0.7560975609756098,0.7134146341463414,-0.04268292682926833,atlas_lesion_size_clean_artifact_drops,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,4.710672809684931e-18
MedNeXt,Augmented,1,"[13, 1159)","[13, 1159)",163,0.3393351995708992,0.3126739779208184,0.026661221650080835,0.0,0.009302396431281683,0.04608476147016105,0.16035886882684047,0.22262961698148964,0.4171779141104294,0.4233128834355828,0.006134969325153394,0.17791411042944785,0.147239263803681,-0.03067484662576686,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,0.16035886882684047
MedNeXt,Augmented,2,"[1159, 5290)","[1159, 5290)",163,0.46766173535343464,0.4374045657198892,0.030257169633545397,0.0019720531882151393,0.016645686372787096,0.04565735823851107,1.2455147277019765e-05,0.3179836648286326,0.12883435582822086,0.17177914110429449,0.04294478527607362,0.24539877300613497,0.2331288343558282,-0.012269938650306761,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,0.00011209632549317788
