architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,mean_dice,median_dice,iqr_dice,catastrophic_failure_rate_dice_lt_0_1,strong_performance_rate_dice_ge_0_7,mean_precision,mean_recall,median_predicted_voxel_count,median_ground_truth_voxel_count,source_metric_files
Base CNN,Augmented,artifact,1,"[13, 1159)","[13, 1159)",163,0.2943782037703109,0.2366412242876289,0.5714285674939715,0.4294478527607362,0.12883435582822086,0.42979892276391185,0.369149114283676,456.0,509.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.4113434879166157,0.4644471847659486,0.5060203917856352,0.20245398773006135,0.1901840490797546,0.5125218575202417,0.4684409961711134,2455.0,2492.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5353206397361576,0.6151343143350242,0.436894734187111,0.08588957055214724,0.36809815950920244,0.6418555339639365,0.5347022743509324,9564.0,12541.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.70496459712318,0.7688407706488019,0.1737898799950831,0.018292682926829267,0.7012195121951219,0.8044046662172751,0.672631914235029,81096.5,84688.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Augmented,clean,1,"[13, 1159)","[13, 1159)",163,0.3069118527306092,0.2653316655002107,0.5947888549798915,0.4233128834355828,0.15337423312883436,0.4371728250188256,0.3820682420387971,366.0,509.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",163,0.4499768717628553,0.5075104654632467,0.488914107436288,0.15950920245398773,0.2085889570552147,0.5620308756460833,0.49716287194320896,2196.0,2492.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5784828932061525,0.6435825859925413,0.3557610344530416,0.06748466257668712,0.4110429447852761,0.6858809258920112,0.5719134121889092,10371.0,12541.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",164,0.7372235948793457,0.7957882009593724,0.15128710512938204,0.012195121951219513,0.7621951219512195,0.8275310799930854,0.7089393917900882,81739.0,84688.0,runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Standard,artifact,1,"[13, 1159)","[13, 1159)",163,0.25340114577367,0.07927695299170084,0.5157434111862221,0.5153374233128835,0.08588957055214724,0.3555926488298595,0.33330565091188286,515.0,509.0,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.3922600079249296,0.4209495840868944,0.49076144686149864,0.22699386503067484,0.1901840490797546,0.4776921453450833,0.4550541170445816,2487.0,2492.0,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json
