Architecture,Training,Acquisition,Subjects,Fold predictions,Mean predicted mL,Median predicted mL,Mean LCC mL,Median LCC mL,Mean component count,Scan-positive rate
mednext,augmented,headmotion1,140,700,51.27392857142857,26.9765,33.70704857142857,14.8325,116.55714285714286,1.0
mednext,augmented,headmotion2,140,700,61.43882571428571,36.9855,38.99124857142857,19.0325,131.39714285714285,1.0
mednext,augmented,standard,140,700,37.19765857142857,19.744,27.401212857142855,12.555499999999999,84.35,0.9942857142857143
mednext,standard,headmotion1,140,700,20.199598571428574,7.41,12.72668,5.054,74.30714285714286,0.9985714285714286
mednext,standard,headmotion2,140,700,23.031591428571428,9.041,14.375437142857143,5.805,78.88714285714286,0.9957142857142857
mednext,standard,standard,140,700,15.439885714285714,5.311,10.562755714285714,3.479,64.67857142857143,0.9928571428571429
swin_unetr,augmented,headmotion1,140,700,123.62507142857143,109.503,55.809734285714285,45.855999999999995,211.8,1.0
swin_unetr,augmented,headmotion2,140,700,128.77029142857143,114.7835,57.65737428571428,48.039500000000004,229.37571428571428,1.0
swin_unetr,augmented,standard,140,700,114.07256571428572,101.3425,52.426170000000006,44.1775,189.95285714285714,1.0
swin_unetr,standard,headmotion1,140,700,77.60364,54.4815,31.905955714285717,24.0515,229.09714285714287,1.0
swin_unetr,standard,headmotion2,140,700,85.18088142857142,61.247,35.37255142857143,27.2045,252.85285714285715,1.0
swin_unetr,standard,standard,140,700,69.11424428571428,44.658,27.439615714285715,19.319000000000003,200.20142857142858,1.0
