Type,Architecture,Training,Acquisition,Contrast,Endpoint,Subjects,Mean delta,CI95,Holm p
motion,mednext,augmented,headmotion1,headmotion1_minus_standard,predicted_lesion_volume_ml,140,14.07627,"[10.973, 17.391]",4.644971667558566e-16
motion,mednext,augmented,headmotion1,headmotion1_minus_standard,largest_cc_volume_ml,140,6.305835714285714,"[4.778, 7.905]",3.199176656399472e-11
motion,mednext,augmented,headmotion2,headmotion2_minus_standard,predicted_lesion_volume_ml,140,24.241167142857147,"[20.515, 28.195]",1.7312698857562346e-21
motion,mednext,augmented,headmotion2,headmotion2_minus_standard,largest_cc_volume_ml,140,11.590035714285714,"[9.557, 13.728]",8.197753584273696e-18
motion,mednext,standard,headmotion1,headmotion1_minus_standard,predicted_lesion_volume_ml,140,4.7597128571428575,"[3.001, 6.774]",3.781609611869035e-08
motion,mednext,standard,headmotion1,headmotion1_minus_standard,largest_cc_volume_ml,140,2.1639242857142857,"[1.142, 3.213]",8.447343423276997e-05
motion,mednext,standard,headmotion2,headmotion2_minus_standard,predicted_lesion_volume_ml,140,7.591705714285715,"[5.746, 9.568]",4.4909163998940186e-13
motion,mednext,standard,headmotion2,headmotion2_minus_standard,largest_cc_volume_ml,140,3.8126814285714286,"[2.696, 4.951]",4.111548112849854e-09
motion,swin_unetr,augmented,headmotion1,headmotion1_minus_standard,predicted_lesion_volume_ml,140,9.552505714285713,"[7.502, 11.721]",1.5454051906251615e-14
motion,swin_unetr,augmented,headmotion1,headmotion1_minus_standard,largest_cc_volume_ml,140,3.3835642857142854,"[1.798, 4.975]",1.2800128310293062e-05
motion,swin_unetr,augmented,headmotion2,headmotion2_minus_standard,predicted_lesion_volume_ml,140,14.697725714285713,"[12.226, 17.222]",1.201882700246286e-17
motion,swin_unetr,augmented,headmotion2,headmotion2_minus_standard,largest_cc_volume_ml,140,5.231204285714286,"[3.605, 6.790]",1.7430856069441144e-08
motion,swin_unetr,standard,headmotion1,headmotion1_minus_standard,predicted_lesion_volume_ml,140,8.489395714285715,"[6.699, 10.426]",2.632478971265837e-16
motion,swin_unetr,standard,headmotion1,headmotion1_minus_standard,largest_cc_volume_ml,140,4.46634,"[3.360, 5.602]",1.610245993127668e-12
motion,swin_unetr,standard,headmotion2,headmotion2_minus_standard,predicted_lesion_volume_ml,140,16.066637142857143,"[14.102, 18.180]",1.2325691037785612e-22
motion,swin_unetr,standard,headmotion2,headmotion2_minus_standard,largest_cc_volume_ml,140,7.932935714285715,"[6.572, 9.366]",1.2533319981263876e-18
training,mednext,,headmotion1,augmented_minus_standard,predicted_lesion_volume_ml,140,31.074330000000003,"[27.004, 35.279]",9.048680377171754e-24
training,mednext,,headmotion1,augmented_minus_standard,largest_cc_volume_ml,140,20.980368571428574,"[17.675, 24.560]",1.60598161152652e-21
training,mednext,,headmotion2,augmented_minus_standard,predicted_lesion_volume_ml,140,38.40723428571428,"[33.792, 43.005]",6.06871244693185e-24
training,mednext,,headmotion2,augmented_minus_standard,largest_cc_volume_ml,140,24.615811428571426,"[21.126, 28.321]",4.2198444311165997e-23
training,mednext,,standard,augmented_minus_standard,predicted_lesion_volume_ml,140,21.757772857142857,"[18.562, 24.954]",1.0664816252474783e-22
training,mednext,,standard,augmented_minus_standard,largest_cc_volume_ml,140,16.83845714285714,"[13.922, 19.951]",3.2799046009778663e-19
training,swin_unetr,,headmotion1,augmented_minus_standard,predicted_lesion_volume_ml,140,46.02143142857143,"[42.932, 49.182]",6.06871244693185e-24
training,swin_unetr,,headmotion1,augmented_minus_standard,largest_cc_volume_ml,140,23.903778571428568,"[21.434, 26.431]",6.758826148468074e-24
training,swin_unetr,,headmotion2,augmented_minus_standard,predicted_lesion_volume_ml,140,43.58941000000001,"[40.490, 46.870]",6.06871244693185e-24
training,swin_unetr,,headmotion2,augmented_minus_standard,largest_cc_volume_ml,140,22.284822857142856,"[19.947, 24.720]",1.234490317169756e-22
training,swin_unetr,,standard,augmented_minus_standard,predicted_lesion_volume_ml,140,44.95832142857143,"[41.665, 48.391]",6.06871244693185e-24
training,swin_unetr,,standard,augmented_minus_standard,largest_cc_volume_ml,140,24.986554285714284,"[22.492, 27.581]",7.775616962882688e-24
